BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	37	37	37	0	0	0
Contact period end (sample #):	7999	7999	7999	7999	7999	7999
Contact period start time (s):	0.037000	0.037000	0.037000	0.000000	0.000000	0.000000
Contact period end time (s):	7.999000	7.999000	7.999000	7.999000	7.999000	7.999000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.086868	0.086868	0.086868	0.086868	0.086868	0.086868
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	May 10, 2023  12:26:05
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.071000	-0.076284	-0.056750	0.160805	-9.675985	-28.934966	710.368020
0.072000	0.729481	0.825636	5.162315	-7.039616	-27.574359	733.821264
0.073000	0.407175	0.424994	3.444312	-9.556883	-28.614821	715.278817
0.074000	0.728268	0.464439	6.257189	-10.636131	-28.974982	708.302684
0.075000	0.125764	0.304448	1.255847	-8.120327	-27.534343	732.072265
0.076000	-0.720896	-0.456949	-4.997842	-9.958675	-28.214644	720.024793
0.077000	0.729481	0.785749	6.101725	-11.557646	-28.734874	710.038128
0.078000	0.166254	0.344777	1.726469	-10.160305	-27.734431	723.506898
0.079000	0.608818	0.424994	4.693924	-11.519312	-28.254201	715.896500
0.080000	0.930720	0.866409	7.194360	-11.120447	-27.733972	722.232090
0.081000	-0.196946	-0.015534	-1.088330	-12.719126	-28.294221	713.514245
0.082000	0.487752	0.505654	4.381404	-13.199053	-28.334237	709.076663
0.083000	0.286917	0.385107	1.882012	-10.882828	-27.013650	730.784301
0.084000	-0.156456	-0.015534	-1.244510	-13.319912	-28.134149	713.034347
0.085000	1.374093	1.307823	10.477142	-14.159489	-28.374025	706.380405
0.086000	0.286512	0.304890	2.817422	-11.683485	-27.013650	728.405211
0.087000	0.286108	0.064240	2.503857	-13.401558	-27.733972	716.993627
0.088000	0.327003	0.465767	2.662772	-14.760275	-28.254201	707.011986
0.089000	-0.196542	-0.216298	-1.244590	-13.362638	-27.453847	720.638945
0.090000	0.568732	0.626201	5.006612	-14.761448	-27.974076	710.653181
0.091000	0.569137	0.706418	4.849627	-14.003223	-27.294234	719.686161
0.092000	-0.076284	-0.015534	0.159920	-15.242252	-27.814008	712.078829
0.093000	0.729481	0.666088	5.786638	-15.881662	-28.014096	706.375199
0.094000	-0.438272	-0.296072	-2.806085	-13.565145	-26.613933	728.403872
0.095000	0.085273	0.064683	1.255847	-15.562691	-27.653935	713.506881
0.096000	0.407579	0.586314	3.287255	-16.441771	-27.934060	705.901166
0.097000	0.085678	0.265003	0.940752	-14.404722	-26.893598	724.442636
0.098000	0.890634	0.786192	7.507765	-15.803238	-27.613919	713.035006
0.099000	0.166254	0.265003	1.569332	-16.482157	-27.934060	706.857584
0.100000	-0.639915	-0.496393	-3.899516	-15.203915	-27.213738	718.585155
0.101000	0.609223	0.666088	4.536947	-16.322374	-27.813776	708.763073
0.102000	-0.115966	0.144899	-0.150273	-15.083935	-27.213511	719.065960
0.103000	0.769971	0.706418	6.099238	-16.122503	-27.653708	711.461634
0.104000	0.890634	0.866409	7.194360	-16.841516	-28.013865	704.808103
0.105000	0.085273	0.184344	0.941557	-14.084871	-26.573457	727.473231
0.106000	0.366685	0.385107	3.287972	-16.002230	-27.533651	712.737019
0.107000	0.045591	0.344777	1.725672	-16.800545	-28.053653	704.975453
0.108000	-0.116370	-0.056307	-0.464563	-14.683022	-27.013422	721.301478
0.109000	1.212940	1.107059	8.913160	-15.841280	-27.733512	711.321442
0.110000	0.407175	0.384665	3.442710	-16.319742	-28.013865	705.620687
0.111000	0.809249	0.584543	6.099158	-14.841045	-27.453619	714.978337
0.112000	0.205532	0.264118	2.037395	-15.759340	-28.053885	705.475118
0.113000	-0.358099	-0.217183	-2.338827	-13.881191	-27.253527	719.107695
0.114000	0.608010	0.665202	5.006612	-14.719305	-27.813776	710.873156
0.115000	0.366685	0.464439	3.130907	-15.318041	-28.293989	704.063060
0.116000	0.164637	0.143128	1.724070	-12.441416	-26.933386	725.303143
0.117000	0.889826	0.865080	7.037295	-13.798960	-27.773760	714.531312
0.118000	-0.318418	-0.257956	-1.869798	-14.877035	-28.494081	702.969849
0.119000	0.204723	0.142686	2.192850	-12.879200	-27.573440	718.186707
0.120000	0.124551	0.303562	1.412187	-13.637423	-28.013865	710.742537
0.121000	-0.116774	0.062469	-0.309745	-13.837294	-28.253745	707.419665
0.122000	1.131151	1.104845	9.225848	-12.997717	-27.893584	713.764065
0.123000	0.366281	0.423223	3.130907	-13.916014	-28.493850	704.579996
0.124000	-0.399802	-0.339058	-2.183283	-11.718599	-27.493407	722.967971
0.125000	0.688182	0.744091	5.318655	-12.916656	-28.053653	714.096725
0.126000	0.003484	0.142243	0.786093	-13.795446	-28.533870	704.439680
0.127000	1.010084	0.944411	7.974387	-10.958912	-27.213283	727.582842
0.128000	0.687778	0.783535	5.942978	-12.516621	-27.973620	715.704554
0.129000	0.083252	0.021253	0.472608	-13.834660	-28.773746	702.555661
0.130000	0.526221	0.421895	3.755310	-11.797318	-27.693496	719.360185
0.131000	-0.037006	0.061583	-0.152600	-12.596218	-27.973620	713.818136
0.132000	-0.198968	-0.179510	-0.778049	-12.676107	-27.853564	713.827536
0.133000	0.768355	0.823422	5.943058	-12.196768	-27.533651	717.796454
0.134000	0.324578	0.301348	2.973762	-13.075558	-27.973620	709.563169
0.135000	0.888209	0.742762	7.192758	-10.638180	-26.613245	729.853580
0.136000	0.083252	0.061140	0.316348	-12.035816	-27.293547	718.136022
0.137000	-0.883261	-0.581037	-5.310362	-12.674643	-27.733740	709.270581
0.138000	0.566307	0.541556	4.225143	-9.637943	-26.333120	731.939614
0.139000	-0.077901	0.060255	-0.777083	-10.955397	-27.133474	720.538184
0.140000	0.203107	0.180801	2.033386	-12.392832	-28.053653	706.285092
0.141000	0.807632	0.741434	6.724695	-9.995546	-27.093226	723.408020
0.142000	-0.441101	-0.341272	-2.340428	-10.354027	-27.533423	718.979090
0.143000	0.082444	0.059369	1.412187	-10.193367	-27.613460	718.355355
0.144000	-0.158881	0.019039	-1.246829	-9.753532	-27.693496	719.949184
0.145000	-0.440697	-0.301828	-2.964672	-10.112015	-28.093441	713.461051
0.146000	0.928295	0.900982	7.505438	-7.315277	-26.813102	734.863696
0.147000	0.404346	0.460011	3.598333	-9.112070	-27.853564	719.818919
0.148000	0.081231	-0.062063	0.940752	-9.910387	-28.533638	710.159953
0.149000	0.243193	0.339021	2.037555	-6.794090	-27.173263	733.940113
0.150000	-0.240266	-0.182167	-1.403974	-8.151634	-28.013637	722.063084
0.151000	0.484114	0.459125	3.754593	-9.469088	-28.933815	708.129529
0.152000	0.242788	0.338579	1.877206	-6.911728	-27.813548	726.838218
0.153000	0.040741	0.017268	0.940832	-7.190611	-28.133689	722.886895
0.154000	0.523796	0.338136	4.378191	-6.830374	-28.213957	722.580651
0.155000	-0.522890	-0.384259	-3.121012	-6.310064	-28.173937	723.541857
0.156000	-0.120816	-0.103721	-0.935910	-6.629332	-28.573886	717.532355
0.157000	0.201894	0.337693	2.191497	-4.191956	-27.453387	736.401623
0.158000	0.040741	0.056713	0.159203	-5.948656	-28.493850	720.720894
0.159000	0.805207	0.577458	6.096115	-6.387320	-28.854011	713.128592
0.160000	-0.040240	0.056270	-0.154202	-3.311115	-27.453387	736.116872
0.161000	-0.966667	-0.827001	-7.032294	-4.628569	-28.253745	723.765354
0.162000	0.120509	0.136044	1.252715	-5.786242	-28.973835	710.150274
0.163000	-0.443122	-0.305813	-3.279759	-2.949413	-27.693496	730.922732
0.164000	0.240767	0.215375	2.188921	-3.427876	-28.053653	724.912476
0.165000	0.240767	0.375809	2.347040	-2.988041	-28.053425	725.241846
0.166000	-0.403440	-0.427245	-3.281449	-2.348043	-27.853564	726.996051
0.167000	0.119701	0.175045	0.940832	-2.786411	-28.293761	720.196707
0.168000	-0.605084	-0.346586	-3.905852	-0.429218	-27.333335	736.688587
