BioWare Version 5.1.1.0 Export
Device:	Kistler Grande2 9287BA	Kistler Grande2 9287BA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	689.334961	689.334961
Normalized length (m):	1000.000000	1000.000000
File Information
Date	Nov 09, 2012  09:39:44
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
3.700000	0.013472	0.006070
3.720000	0.013777	0.003897
3.740000	0.016483	-0.000807
3.760000	0.015889	-0.008298
3.780000	0.011376	-0.013474
3.800000	0.010600	-0.015003
3.820000	0.014331	-0.013932
3.840000	0.017949	-0.011229
3.860000	0.017523	-0.007678
3.880000	0.011899	-0.004477
3.900000	0.005285	-0.001633
3.920000	0.001545	0.001436
3.940000	-0.000123	0.004763
3.960000	-0.001375	0.007572
3.980000	-0.002447	0.009194
4.000000	-0.002288	0.009470
4.020000	-0.000367	0.008134
4.040000	0.002131	0.005759
4.060000	0.004300	0.002979
4.080000	0.004796	-0.000321
4.100000	0.002987	-0.001876
4.120000	0.001268	-0.002190
4.140000	-0.000881	-0.001917
4.160000	-0.005483	-0.001217
4.180000	-0.011051	-0.000202
4.200000	-0.014377	0.001159
4.220000	-0.014376	0.002926
4.240000	-0.011658	0.005528
4.260000	-0.008526	0.008574
4.280000	-0.005719	0.011701
4.300000	-0.003119	0.014621
4.320000	-0.000988	0.017066
4.340000	0.000023	0.018751
4.360000	0.001404	0.019207
4.380000	0.002435	0.018952
4.400000	0.002387	0.018137
4.420000	0.001852	0.017090
4.440000	0.001122	0.016135
4.460000	0.000514	0.015294
4.480000	0.001412	0.014654
4.500000	0.003020	0.014330
4.520000	0.004080	0.014573
4.540000	0.005248	0.015284
4.560000	0.006791	0.016229
4.580000	0.007300	0.016990
4.600000	0.007774	0.017448
4.620000	0.009337	0.017619
4.640000	0.011894	0.017188
4.660000	0.014782	0.016213
4.680000	0.017400	0.014910
4.700000	0.019305	0.012530
4.720000	0.019829	0.009666
4.740000	0.019253	0.006533
4.760000	0.016085	0.002698
4.780000	0.012675	-0.000377
4.800000	0.010254	-0.003340
4.820000	0.009337	-0.004944
4.840000	0.009953	-0.005011
4.860000	0.010769	-0.004891
4.880000	0.010617	-0.004304
